critic,title,rating
Tester,Frame1,4.4
Tester,Frame2,4.7
Tester,Frame3,4.95
Tester,Frame4,3.6
Tester,Frame5,3.4
D1,Frame1,1.1
D1,Frame2,1.3
D1,Frame3,1.1
D1,Frame4,4.4
D1,Frame5,4.7
D2,Frame1,1.1
D2,Frame2,1.3
D2,Frame3,1.1
D2,Frame4,4.4
D2,Frame5,4.7
D3,Frame1,1.1
D3,Frame2,1.3
D3,Frame3,1.1
D3,Frame4,4.4
D3,Frame5,4.7
D4,Frame1,1.1
D4,Frame2,1.3
D4,Frame3,1.1
D4,Frame4,4.4
D4,Frame5,4.7
D6,Frame1,1.1
D6,Frame2,1.3
D6,Frame3,1.1
D6,Frame4,4.4
D6,Frame5,4.7
D7,Frame1,1.1
D7,Frame2,1.3
D7,Frame3,1.1
D7,Frame4,4.4
D7,Frame5,4.7
D8,Frame1,1.1
D8,Frame2,1.3
D8,Frame3,1.1
D8,Frame4,4.4
D8,Frame5,4.7
D9,Frame1,1.1
D9,Frame2,1.3
D9,Frame3,1.1
D9,Frame4,4.4
D9,Frame5,4.7
D10,Frame1,1.1
D10,Frame2,1.3
D10,Frame3,1.1
D10,Frame4,4.4
D10,Frame5,4.7
D11,Frame1,1.1
D11,Frame2,1.3
D11,Frame3,1.1
D11,Frame4,4.4
D11,Frame5,4.7
D12,Frame1,1.1
D12,Frame2,1.3
D12,Frame3,1.1
D12,Frame4,4.4
D12,Frame5,4.7
D13,Frame1,1.1
D13,Frame2,1.3
D13,Frame3,1.1
D13,Frame4,4.4
D13,Frame5,4.7
D14,Frame1,1.1
D14,Frame2,1.3
D14,Frame3,1.1
D14,Frame4,4.4
D14,Frame5,4.7
D15,Frame1,1.1
D15,Frame2,1.3
D15,Frame3,1.1
D15,Frame4,4.4
D15,Frame5,4.7
D16,Frame1,1.1
D16,Frame2,1.3
D16,Frame3,1.1
D16,Frame4,4.4
D16,Frame5,4.7
D17,Frame1,1.1
D17,Frame2,1.3
D17,Frame3,1.1
D17,Frame4,4.4
D17,Frame5,4.7
D18,Frame1,1.1
D18,Frame2,1.3
D18,Frame3,1.1
D18,Frame4,4.4
D18,Frame5,4.7
D19,Frame1,1.1
D19,Frame2,1.3
D19,Frame3,1.1
D19,Frame4,4.4
D19,Frame5,4.7
D20,Frame1,1.1
D20,Frame2,1.3
D20,Frame3,1.1
D20,Frame4,4.4
D20,Frame5,4.7
D21,Frame1,1.1
D21,Frame2,1.3
D21,Frame3,1.1
D21,Frame4,4.4
D21,Frame5,4.7
D22,Frame1,1.1
D22,Frame2,1.3
D22,Frame3,1.1
D22,Frame4,4.4
D22,Frame5,4.7
D23,Frame1,1.1
D23,Frame2,1.3
D23,Frame3,1.1
D23,Frame4,4.4
D23,Frame5,4.7
D24,Frame1,1.1
D24,Frame2,1.3
D24,Frame3,1.1
D24,Frame4,4.4
D24,Frame5,4.7
D25,Frame1,1.1
D25,Frame2,1.3
D25,Frame3,1.1
D25,Frame4,4.4
D25,Frame5,4.7
D26,Frame1,1.1
D26,Frame2,1.3
D26,Frame3,1.1
D26,Frame4,4.4
D26,Frame5,4.7
D27,Frame1,1.1
D27,Frame2,1.3
D27,Frame3,1.1
D27,Frame4,4.4
D27,Frame5,4.7
D28,Frame1,1.1
D28,Frame2,1.3
D28,Frame3,1.1
D28,Frame4,4.4
D28,Frame5,4.7
D29,Frame1,1.1
D29,Frame2,1.3
D29,Frame3,1.1
D29,Frame4,4.4
D29,Frame5,4.7
D30,Frame1,4.4
D30,Frame2,4.7
D30,Frame3,4.4
D30,Frame4,3.6
D30,Frame5,3.4
D31,Frame1,4.4
D31,Frame2,4.7
D31,Frame3,4.4
D31,Frame4,3.6
D31,Frame5,3.4
D32,Frame1,4.4
D32,Frame2,4.7
D32,Frame3,4.4
D32,Frame4,3.6
D32,Frame5,3.4
D33,Frame1,4.4
D33,Frame2,4.7
D33,Frame3,4.4
D33,Frame4,3.6
D33,Frame5,3.4
D34,Frame1,4.4
D34,Frame2,4.7
D34,Frame3,4.4
D34,Frame4,3.6
D34,Frame5,3.4
D35,Frame1,4.4
D35,Frame2,4.7
D35,Frame3,4.4
D35,Frame4,3.6
D35,Frame5,3.4
D36,Frame1,4.4
D36,Frame2,4.7
D36,Frame3,4.4
D36,Frame4,3.6
D36,Frame5,3.4
D37,Frame1,4.4
D37,Frame2,4.7
D37,Frame3,4.4
D37,Frame4,3.6
D37,Frame5,3.4
